wall_time,updates,collected_samples,trained_samples,sampler_fps,learner_fps,version,num_episodes,train_return_mean,train_return_std,train_return_max,train_return_min,test_return_mean,test_return_std,test_return_max,test_return_min,actor_loss,critic_loss,entropy,approx_kl,clip_frac,explained_var
60.235060865059495,2,131072,131072,2176.0084262823552,2176.0084262823552,0,0,0,0,0,0,0,0,0,0,-0.0009256629515827322,0.253331826456512,2.7025676568349204,0.0032615260703702615,0.011555989583333332,0.023215604946017262
120.23550383374095,4,276224,262144,2419.1821396346236,2184.517205454898,0,0,0,0,0,0,0,0,0,0,-0.0022399340426394096,0.1000467578384511,2.6823047772049904,0.003370253386189385,0.033416748046875,0.47641116194427013
180.23576858825982,6,454912,393216,2978.12019215369,2184.5236939580077,0,0,0,0,0,0,0,0,0,0,-0.0021890859134146012,0.1602351408218965,2.680583601196607,0.003824341765114999,0.041900634765625,0.567831032599012
246.35170925408602,9,589824,589824,2040.5366488226173,2973.685287088748,0,0,0,0,0,0,0,0,0,0,-0.0023803490015173643,0.1005240023174944,2.682897835969925,0.0030850561797706177,0.039922078450520836,0.8671281610925993
306.3522099573165,11,736256,720896,2440.512967121221,2184.515103437177,0,0,0,0,0,0,0,0,0,0,-0.001562536958469233,0.1734839592051382,2.6702251558502517,0.0022831494085645923,0.0173187255859375,0.8928108513355255
366.35221135243773,13,909824,851968,2892.7999327365574,2184.5332825385212,0,100,0.1,0.99498743710662,10.0,0.0,0.0,0.0,0.0,0.0,-0.003276670351624489,0.08099133179833493,2.682405139009158,0.002718842182730441,0.027445475260416668,0.9348594440768162
434.41595285758376,16,1048576,1048576,2038.5596931886196,2888.5864287248337,0,100,0.1,0.99498743710662,10.0,0.0,0.0,0.0,0.0,0.0,-0.0025815194627890983,0.07775359940327084,2.682472529510657,0.0021066919750107145,0.016657511393229164,0.9439133300135533
494.41624504700303,18,1186048,1179648,2291.1888423143787,2184.522695093039,0,100,0.1,0.99498743710662,10.0,0.0,0.0,0.0,0.0,0.0,-0.0016416709137653622,0.09721630990194778,2.685279091199239,0.0014882608423552786,0.012944539388020832,0.9271583923449118
554.4163438975811,20,1352704,1310720,2777.5954238847785,2184.529734299549,0,100,0.1,0.99498743710662,10.0,0.0,0.0,0.0,0.0,0.0,-0.001743526760643969,0.11400003075444448,2.6759515826900797,0.002511194925925035,0.023615519205729168,0.957909989481171
624.538362853229,23,1507328,1507328,2205.070565606495,2803.7983350758086,0,100,0.1,0.99498743710662,10.0,0.0,0.0,0.0,0.0,0.0,-0.0012702546907045569,0.17743075996016464,2.662458300590515,0.001580970060482893,0.012430826822916668,0.9573176770160595
684.5386235807091,25,1643264,1638400,2265.5901549731343,2184.5238405767323,0,100,0.1,0.99498743710662,10.0,0.0,0.0,0.0,0.0,0.0,-0.0024782625114312395,0.09163854309978585,2.6639749382932982,0.0024944514643721045,0.021214803059895832,0.9679865625997385
744.5390370022506,27,1808384,1769472,2751.981037862621,2184.5182812180806,13,100,0.3,1.705872210923198,10.0,0.0,0.4,1.9595917942265424,10.0,0.0,-0.002144758924259804,0.10058702792351444,2.6534266596039138,0.0020361752685857937,0.020268758138020832,0.9787781698008379
