wall_time,updates,collected_samples,trained_samples,sampler_fps,learner_fps,version,num_episodes,train_return_mean,train_return_std,train_return_max,train_return_min,test_return_mean,test_return_std,test_return_max,test_return_min,actor_loss,critic_loss,entropy,approx_kl,clip_frac,explained_var
60.000111777335405,2,131072,131072,2184.52926365233,2184.52926365233,0,0,0,0,0,0,0,0,0,0,-0.0015766017895657567,0.031308171746786684,2.6902524953087172,0.005420362546525817,0.0200347900390625,0.004572950924436252
120.00078891776502,4,284160,262144,2551.437871971054,2184.5086796809023,0,0,0,0,0,0,0,0,0,0,-0.0021387948775858,0.03905049152672291,2.6315787583589554,0.004491588386978643,0.017069498697916668,0.0383390864978234
191.96566501818597,7,458752,458752,2426.0724044931517,2731.9994232415547,0,0,0,0,0,0,0,0,0,0,-0.0022005963061625757,0.026127821203165997,2.608456574380398,0.004476504516181497,0.030487060546875,0.26030707669754827
251.9661875013262,9,602368,589824,2393.5791565874315,2184.5143104683866,0,0,0,0,0,0,0,0,0,0,-0.002544482165831141,0.04173256689682603,2.60366153717041,0.004473964308999712,0.026357014973958332,0.2846148740500211
311.9664239734411,11,769536,720896,2786.122352662581,2184.5247236803084,0,0,0,0,0,0,0,0,0,0,-0.0025455800059717153,0.0399400793054762,2.6112092410524688,0.004080924755423135,0.03870137532552083,0.3677454795688391
379.83344616368413,14,917504,917504,2180.2636276750154,2896.959283831163,0,100,0.08000000193715096,0.30594116932613946,2.0,0.0,0.0800000011920929,0.3059411639096963,2.0,0.0,-0.003163154768117238,0.043032352424537144,2.576498046517372,0.004361908968348871,0.040771484375,0.46243053053816163
439.8336050193757,16,1065216,1048576,2461.860148658393,2184.5275495894234,0,100,0.08000000193715096,0.30594116932613946,2.0,0.0,0.0800000011920929,0.3059411639096963,2.0,0.0,-0.004561822182343652,0.04242568397118399,2.57720526556174,0.005427632573021887,0.05546061197916667,0.5412400215864182
499.833834214136,18,1233664,1179648,2807.455942430136,2184.524988638647,0,100,0.08000000193715096,0.30594116932613946,2.0,0.0,0.0800000011920929,0.3059411639096963,2.0,0.0,-0.0044891095482550245,0.03906590563322728,2.580151821176211,0.00535205230092591,0.0596771240234375,0.5886582142362992
568.1311245858669,21,1376256,1376256,2087.8134289646805,2878.7086417322703,0,100,0.08000000193715096,0.30594116932613946,2.0,0.0,0.0800000011920929,0.3059411639096963,2.0,0.0,-0.004985996987670659,0.03658494902386641,2.562192256251971,0.005946012783776193,0.062398274739583336,0.6938963538656633
628.1311581414193,23,1516288,1507328,2333.8653614309774,2184.532111613639,0,100,0.08000000193715096,0.30594116932613946,2.0,0.0,0.0800000011920929,0.3059411639096963,2.0,0.0,-0.005061997736144501,0.03491587508081769,2.548406645655632,0.006424999805555369,0.06985982259114583,0.7053791228681804
688.1311719790101,25,1683712,1638400,2790.399356459925,2184.532829522143,0,100,0.08000000193715096,0.30594116932613946,2.0,0.0,0.0800000011920929,0.3059411639096963,2.0,0.0,-0.004579131033096928,0.03369598552429428,2.57074628273646,0.005931491704056195,0.06847127278645833,0.734028872102499
757.5731715988368,28,1835008,1835008,2178.739103543943,2831.2548756713168,13,100,0.13000000193715094,0.3912799433307009,2.0,0.0,0.15000000223517418,0.4330126832099823,2.0,0.0,-0.005260344126630419,0.03329306435383235,2.5677700117230415,0.006574624375086083,0.07156880696614584,0.7351470397164425
