wall_time,updates,collected_samples,trained_samples,sampler_fps,learner_fps,version,num_episodes,train_return_mean,train_return_std,train_return_max,train_return_min,test_return_mean,test_return_std,test_return_max,test_return_min,actor_loss,critic_loss,spr_loss,entropy,approx_kl,clip_frac,explained_var,policy_reg,raw_reward_mean,raw_reward_std,reward_running_std
60.00035656243563,1,85504,65536,1425.0581979629671,1092.2601756841902,0,0,0,0,0,0,0,0,0,0,0.0014463288801683425,0.3112545791082084,0.014842507885380959,2.6877143308520317,0.008925336883597385,0.1154327392578125,0.0008293651044368744,2.6511459692753665e-05,0.001617431640625,0.04007859155535698,0.2786729037761688
144.81617297511548,3,196608,196608,1309.9443558900896,1545.372143354207,0,0,0,0,0,0,0,0,0,0,-0.0003338563401484862,0.21367200013870993,6.872997590789964e-05,2.674853123724461,0.006405112361486923,0.030609130859375,-0.00038284622132778173,9.589999615163456e-07,0.0018768310546875,0.04313740227371454,0.29382583498954773
236.3324819188565,5,327680,327680,1432.2255946814414,1432.2255946814414,0,0,0,0,0,0,0,0,0,0,-0.0003554474909227186,0.19525805798669654,1.0206689789053296e-05,2.6747847497463226,0.005729729598291063,0.04058329264322917,0.0005354111393292744,4.6437143286226506e-07,0.001617431640625,0.040109481662511826,0.29027271270751953
296.33292926102877,6,458496,393216,2180.250411367415,1092.25852311166,0,100,0.8499999970197678,2.9811910805749897,24.0,0.0,0.16999999880790712,0.8373171632705646,8.0,0.0,-0.00024344464569973445,0.20481934258714315,7.631660982572916e-06,2.6804787243405976,0.0033462838594762916,0.013661702473958334,0.0028226698438326516,8.17283335526516e-07,0.0016326904296875,0.0402840506285429,0.2909456491470337
374.92001813557,8,524288,524288,837.1858652893011,1667.8566654790745,6,100,0.21000000312924386,0.5156549189827785,2.0,0.0,0.16000000312924384,0.3929376509163688,2.0,0.0,-0.0012252311692767157,0.227871960029006,7.173017394279668e-06,2.6521721755464873,0.006816340809261115,0.05149332682291667,0.013676993548870087,1.6382283997510665e-05,0.00177001953125,0.04231742862612009,0.2931062877178192
434.9203176135197,9,649728,589824,2090.6562315759693,1092.26121486418,7,100,0.18000000342726707,0.4331281515672079,2.0,0.0,0.12000000178813934,0.35440089307779105,2.0,0.0,-0.0011375340133478555,0.20009140282248458,9.295493451115059e-06,2.6675743609666824,0.0077862227032407345,0.06522115071614584,0.03792906614641348,3.5194072135406415e-05,0.001556396484375,0.03930950351059437,0.29750698804855347
513.6124229636043,11,720896,720896,904.3855121601914,1665.6308713166115,8,100,0.23000000417232513,0.4869291438383638,2.0,0.0,0.1200000025331974,0.3544008927153023,2.0,0.0,-0.001272083218888535,0.15994617389515045,1.6364250029710092e-05,2.6680415769418078,0.004743684240869092,0.03701273600260417,0.0973138529807329,0.0002271862407875839,0.001312255859375,0.03610179107636213,0.3031337857246399
573.6126475883648,12,846592,786432,2094.9254904643926,1092.262577513003,11,100,0.17000000327825546,0.4255584467963301,2.0,0.0,0.11000000163912774,0.3433656857141704,2.0,0.0,-0.0017923333137635682,0.20752900621543327,2.2870061760234723e-05,2.6645475551486015,0.005217473409478165,0.03428141276041667,0.09620504267513752,0.00039570060622888076,0.001739501953125,0.04162205010652542,0.30394721031188965
652.9170994851738,14,917504,917504,894.1742651758151,1652.7697609025897,12,100,0.24000000283122064,0.5122499302955887,2.0,0.0,0.15000000223517418,0.40926762738076755,2.0,0.0,-0.0026904265529689533,0.2140591264081498,3.8673867455448395e-05,2.67073908696572,0.005430845683804363,0.048609415690104164,0.1745730352898439,0.001402975511761421,0.0019683837890625,0.044172508642077446,0.3081209361553192
712.9175087148324,15,1043456,983040,2099.185682515999,1092.2592169188936,13,100,0.19000000432133674,0.4170131840296586,2.0,0.0,0.14000000283122063,0.3746998707881753,2.0,0.0,-0.002875928153419712,0.20408816449344158,6.295508755253346e-05,2.6707426806290946,0.004461848464416107,0.042750040690104164,0.2644315355767806,0.0016884616440317284,0.001983642578125,0.044759574346244335,0.31071406602859497
792.2696753777564,17,1114112,1114112,890.4104698254303,1651.7759440239868,13,100,0.19000000432133674,0.4170131840296586,2.0,0.0,0.14000000283122063,0.3746998707881753,2.0,0.0,-0.003934234988264507,0.17093748583768806,0.00015954423709748275,2.6657103573282557,0.003944304003501505,0.033055623372395836,0.3685877397656441,0.002248683254341207,0.001739501953125,0.0415537366643548,0.31265732645988464
852.2699955813587,18,1241856,1179648,2129.0553044803664,1092.2608375690857,13,100,0.19000000432133674,0.4170131840296586,2.0,0.0,0.14000000283122063,0.3746998707881753,2.0,0.0,-0.0032298291698680255,0.18012877483852208,0.00029384498278280563,2.671579380830129,0.005423796401980022,0.04611714680989583,0.3887487289806207,0.0022504058761114725,0.001800537109375,0.04228953178972006,0.31511634588241577
930.6402716767043,20,1310720,1310720,878.7004899181388,1672.4708209594316,13,100,0.19000000432133674,0.4170131840296586,2.0,0.0,0.14000000283122063,0.3746998707881753,2.0,0.0,-0.0027172190239070915,0.18565569608472288,0.0005017035452207589,2.6708705226580305,0.004290740479821882,0.04689534505208333,0.484452985227108,0.0026654628503213944,0.0018310546875,0.042700706981122494,0.31986892223358154
1023.0030378857628,22,1441792,1441792,1419.099983464388,1419.099983464388,13,100,0.19000000432133674,0.4170131840296586,2.0,0.0,0.14000000283122063,0.3746998707881753,2.0,0.0,-0.00324954717749885,0.18757647066377103,0.0007286295452407405,2.6755715186397233,0.003305854363134131,0.028076171875,0.5436422744144995,0.0031341884629606893,0.0020599365234375,0.04521884210407734,0.32243210077285767
1115.4645510893315,24,1572864,1572864,1417.5844138676825,1417.5844138676825,14,100,0.4300000071525574,1.1511299009201417,6.0,0.0,0.5400000154972077,2.401749406342624,23.0,0.0,-0.004154211767551412,0.20402242289856076,0.0012224224592500832,2.670419469475746,0.004133908588604148,0.03935750325520833,0.6308374914030234,0.004273462914473688,0.0020751953125,0.0450924513861537,0.32481279969215393
1175.4646617593244,25,1702144,1638400,2154.662692391587,1092.264651984646,14,100,0.4300000071525574,1.1511299009201417,6.0,0.0,0.5400000154972077,2.401749406342624,23.0,0.0,-0.004334269389801194,0.17834778409451246,0.0013733803692351407,2.6690115059415502,0.005417519335727169,0.057469685872395836,0.6804705721636614,0.0046799341653240845,0.0017242431640625,0.04131572134792805,0.32542794942855835
1255.5749390413985,27,1769472,1769472,840.441479973078,1636.1446302137488,25,100,0.2600000075995922,0.5765414127070126,3.0,0.0,0.15000000447034836,0.35707141609118653,1.0,0.0,-0.004164774824554722,0.18189597595483065,0.0018089075723158505,2.668798841536045,0.005081519154070216,0.055735270182291664,0.7340063303709029,0.005509296829889839,0.0021820068359375,0.04663500748574734,0.326410710811615
1348.390663197264,29,1900544,1900544,1412.17451236916,1412.17451236916,26,100,0.2600000038743019,0.5219195290027465,2.0,0.0,0.14000000208616256,0.42473521515428103,3.0,0.0,-0.002915184705974146,0.16826663686273,0.002242286631371826,2.6660326470931373,0.004119987198767679,0.042994181315104164,0.7690900055070718,0.00553013837391821,0.0020294189453125,0.04500238597393036,0.32930871844291687
1408.3910737885162,30,2030080,1966080,2158.9185594487567,1092.2591921321773,27,100,0.3000000067055225,0.5916079696317664,3.0,0.0,0.10000000149011612,0.2999999910593034,1.0,0.0,-0.0046335981047983905,0.16574990019823116,0.002464909436336408,2.6676370998223624,0.004952917707972422,0.0489044189453125,0.7397113107144833,0.00590463508948839,0.0023040771484375,0.04816018417477608,0.32993993163108826
1488.6615106621757,32,2097152,2097152,835.5753701149904,1632.8801125911261,29,100,0.3100000023841858,0.6587108288496167,3.0,0.0,0.19000000283122062,0.46249322597491926,2.0,0.0,-0.0037084267775450517,0.1912932148358474,0.0030039140425894098,2.6653026516238847,0.004474266457085226,0.04681905110677083,0.773026982943217,0.00665529680554755,0.002288818359375,0.047644345089793205,0.3311779797077179
1548.6616903617978,33,2224896,2162688,2129.0602901445072,1092.263395344677,30,100,0.2900000028312206,0.6212084973103457,3.0,0.0,0.21000000610947608,0.604896657778691,4.0,0.0,-0.004732619582985838,0.15492826428574819,0.003158288319051887,2.663632494707902,0.004994654478650772,0.05709330240885417,0.8171823440740505,0.006365905666219381,0.0021209716796875,0.046618182212114334,0.33342963457107544
1627.453201723285,35,2293760,2293760,874.0027803764186,1663.5294555863434,33,100,0.39000000804662704,0.7056202899921271,3.0,0.0,0.18000000342726707,0.4093897843539649,2.0,0.0,-0.003489257321537783,0.1493300699318449,0.0034680034271635427,2.660556671520074,0.005332984800891912,0.05736796061197917,0.7828959468752146,0.007023779064184055,0.0021514892578125,0.04661683086305857,0.335642546415329
1687.4534617308527,36,2421760,2359296,2133.3240886598765,1092.2619333938567,33,100,0.39000000804662704,0.7056202899921271,3.0,0.0,0.18000000342726707,0.4093897843539649,2.0,0.0,-0.003982671546206499,0.16351813225386042,0.0036869257601210847,2.6601163869102797,0.00526964303026034,0.05584208170572917,0.8008948353429636,0.006877644162159413,0.002288818359375,0.048067727126181126,0.33665981888771057
1766.861212153919,38,2490368,2490368,863.9962678009675,1650.619735500356,35,100,0.3700000047683716,0.6731270172870648,3.0,0.0,0.28000000342726705,0.6794115135316878,4.0,0.0,-0.003576313548061686,0.1740592416220655,0.003965084887264917,2.659393618504206,0.005212640715399175,0.052912394205729164,0.8096532418082157,0.0072436400660080835,0.0025482177734375,0.0506411986425519,0.3421635329723358
1826.8613024223596,39,2615552,2555904,2086.39686107015,1092.2650233823279,36,100,0.39000000432133675,0.6766830849135268,3.0,0.0,0.15000000223517418,0.40926763156648577,2.0,0.0,-0.004186761316911239,0.14099188870750368,0.004137470784674709,2.6619247769316035,0.005220641995038021,0.054692586263020836,0.802134228249391,0.007020563255840291,0.0022430419921875,0.04749475605785847,0.3431083559989929
1906.7303675711155,41,2686976,2686976,894.2636284395342,1641.0859417958477,39,100,0.3400000065565109,0.6199999859528517,3.0,0.0,0.20000000521540642,0.48989794541008014,2.0,0.0,-0.004793502019310835,0.1630353437891851,0.004297344649482208,2.660948800543944,0.005039042483986122,0.047541300455729164,0.8459687195718288,0.007273852180029887,0.002716064453125,0.05203430633991957,0.34697094559669495
1966.7304930025712,42,2811904,2752512,2082.1289805921847,1092.2643832614738,40,100,0.4500000089406967,0.6837397065192481,2.0,0.0,0.20000000521540642,0.5099019311215567,3.0,0.0,-0.004120081591584797,0.15498775290325284,0.004502786371934538,2.661826801796754,0.0046656629917076016,0.0483245849609375,0.8147515803575516,0.007541378964864029,0.00250244140625,0.04982121288776398,0.3483395576477051
2046.0823775893077,44,2883584,2883584,903.3181804478669,1651.7818156760993,42,100,0.3500000037252903,0.6383572607472975,2.0,0.0,0.22000000327825547,0.5211525537184994,3.0,0.0,-0.004028851001445824,0.16755080541285375,0.004702725132422832,2.65328186750412,0.005055182715902143,0.049997965494791664,0.8472028666486342,0.008506352469945948,0.0027618408203125,0.052302354015409946,0.3516019284725189
2106.0829445105046,45,3011840,2949120,2137.579802678331,1092.2563462787477,43,100,0.44000000804662703,0.6829348346728726,2.0,0.0,0.18000000417232515,0.43312816150321576,2.0,0.0,-0.0033592706349736545,0.15653538261540234,0.004680723073154999,2.652616267402967,0.005220790667105272,0.06459045410156249,0.8493854328989983,0.008499768184265122,0.00262451171875,0.05106854438781738,0.3531816005706787
2185.694799358025,47,3080192,3080192,858.5656009511847,1646.387968865193,44,100,0.4200000107288361,0.6352952060382917,2.0,0.0,0.21000000536441804,0.49588305122207854,2.0,0.0,-0.004777602992059353,0.17573668194624284,0.004811119695659727,2.6510691742102304,0.005786053914562217,0.0637969970703125,0.8405742794275284,0.009125695078788945,0.003021240234375,0.05482390243560076,0.3576323091983795
2245.694909556769,48,3204352,3145728,2069.3295327080887,1092.2646605634447,46,100,0.40000001192092893,0.6324555168448258,3.0,0.0,0.2900000013411045,0.6371028116717703,3.0,0.0,-0.0027784280027844943,0.1637052771014472,0.0048230925846534465,2.6495910584926605,0.004727508223368204,0.05422973632812501,0.8653289979944627,0.009096093126572669,0.003204345703125,0.05673553328961134,0.3609732985496521
2326.4040367444977,50,3276800,3276800,897.6432099369189,1624.004676634991,47,100,0.4300000086426735,0.6964912095597997,3.0,0.0,0.41000000461936,0.6796322497877676,3.0,0.0,-0.001692836286868745,0.2000676264675955,0.00510710912446181,2.6479462261001268,0.005183712077875194,0.05579121907552083,0.8517499739925066,0.009859553334536031,0.003936767578125,0.06257771607488394,0.3677403926849365
